Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
"Honey, I Joined a Cult",11/3/2022,Sole Survivor Games,Team17,Tycoon,,6,
Disney/Pixar Cars 2,6/21/2011,Avalanche Software,Disney Interactive Studios,Auto Racing,Rated E +10 For Everyone +10,7.6,38
Dillon's Rolling Western: The Last Ranger,4/11/2013,Vanpool,Nintendo,Action,Rated E +10 For Everyone +10,7,21
Skylanders Battlecast,5/23/2016,Activision,Activision,Board,,,
Wanted: Dead,2/14/2023,Soleil Ltd.,110 Industries,Action Adventure,,5.6,68
Honeycomb Beat,4/2/2007,Hudson,Hudson,Puzzle,Rated E For Everyone,,
Memento Mori,7/29/2009,Centauri Production,Got Game Entertainment,First-Person Adventure,Rated M For Mature,7.6,37
Aqua Kitty UDX,2/15/2018,Tikipod Limited,Tikipod Limited,Horizontal Shoot-'Em-Up,Rated E For Everyone,8,14
Dark Messiah of Might and Magic,10/24/2006,Arkane Studios,Ubisoft,FPS,Rated M For Mature,8.6,505
Speed Kings,6/3/2003,Climax Studios,Acclaim,Auto Racing Sim,Rated E For Everyone,,
ScreamRide,3/3/2015,Frontier Developments,Microsoft Game Studios,Simulation,Rated E +10 For Everyone +10,4.8,227
The Great Jitters: Pudding Panic,6/7/2011,KUNST-STOFF,KUNST-STOFF,Action Puzzle,,5.8,8
Windbound,8/28/2020,5 Lives Studios,5 Lives Studios,Survival,,5.2,19
Fantasy Zone,1/23/2020,M2,Sega,Horizontal Shoot-'Em-Up,Rated E For Everyone,8.2,12
Dear Esther: Landmark Edition,9/20/2016,The Chinese Room,Curve Digital,First-Person Adventure,Rated T For Teen,6.1,66
The Incredible Hulk (2008),6/5/2008,Edge of Reality,Sega,Open-World Action,Rated T For Teen,6.5,19
Gretzky NHL 2005,11/9/2004,Page 44 Studios,SCEA,Hockey Sim,Rated E For Everyone,,
Valhalla Knights 2,10/1/2008,K2,XSEED Games,Action RPG,Rated E +10 For Everyone +10,5.3,8
No Heroes Allowed!,11/1/2010,Acquire,SCEA,Strategy,Rated E +10 For Everyone +10,7.7,19
Driver '76,5/8/2007,Sumo Digital,Ubisoft,Auto Racing,Rated M For Mature,7.1,29
Tecmo Classic Arcade,9/14/2005,Tecmo,Tecmo,Compilation,Rated E For Everyone,,
Berserk and the Band of the Hawk,2/21/2017,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,,7.5,119
The Masterplan,6/4/2015,Shark Punch,Shark Punch,Strategy,,7.3,24
Left 4 Dead 2,11/17/2009,Valve Software,Electronic Arts,Tactical FPS,Rated M For Mature,8.2,598
#IDARB,1/30/2015,Other Ocean Interactive,Other Ocean Interactive,Party,Rated E For Everyone,6.9,91
Enter the Matrix,5/14/2003,Shiny Entertainment,Infogrames,Linear Action Adventure,Rated T For Teen,8.2,14
JoJo's Bizarre Adventure: All-Star Battle R,9/2/2022,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.7,37
de Blob 2,2/22/2011,Blue Tongue Entertainment,THQ,3D Platformer,Rated E +10 For Everyone +10,7.3,28
Tom Clancy's Ghost Recon Advanced Warfighter,3/9/2006,Ubisoft Paris,Ubisoft,Tactical FPS,Rated T For Teen,7.5,112
Pokemon Mystery Dungeon: Red Rescue Team,9/18/2006,ChunSoft,Nintendo,Roguelike,Rated E For Everyone,8,163
Deracine,11/6/2018,From Software,Sony Interactive Entertainment,Adventure,Rated T For Teen,7.7,88
The Whispered World,4/26/2010,Daedalic Entertainment,Viva Media,Point-and-Click,Rated E For Everyone,7.2,91
NFL GameDay 2003,8/12/2002,989 Sports,SCEA,Football Sim,Rated E For Everyone,,
We Are OFK,8/18/2022,Team OFK,Team OFK,Adventure,Rated M For Mature,3.3,15
Metal Gear Acid 2,3/21/2006,Kojima Productions,Konami,Card Battle,Rated M For Mature,8.1,30
March of the Penguins,11/27/2006,Skyworks Technologies,DSI Games,Action Puzzle,Rated E For Everyone,2,5
Chime Super Deluxe,3/29/2011,Zoe Mode,Zoe Mode,Stacking Puzzle,Rated E For Everyone,8,16
"Hey You, Pikachu!",11/6/2000,Ambrella,Nintendo,Virtual Pet,Rated E For Everyone,5.5,28
PGA Tour 2K23,10/11/2022,Take-Two Interactive,2K Games,Golf Sim,Rated E For Everyone,4.4,28
Street Fighter X Mega Man,12/17/2012,Capcom,Capcom,2D Platformer,,7.8,61
X3: Reunion,11/10/2005,Egosoft,Enlight Software,Space Combat Sim,Rated T For Teen,7.3,57
A Way Out,3/23/2018,Hazelight,Electronic Arts,Linear Action Adventure,Rated M For Mature,7.9,1118
Pool Paradise,6/28/2004,Awesome Developments,Ignition Entertainment,Billiards,Rated E For Everyone,,
Reckless Racing,10/21/2010,Electronic Arts,Electronic Arts,Auto Racing Sim,,,
Kirby Star Allies,3/16/2018,HAL Labs,Nintendo,2D Platformer,Rated E +10 For Everyone +10,7.4,580
Peggle,3/11/2009,PopCap,PopCap,Action Puzzle,Rated E For Everyone,7.5,84
Microsoft Flight Simulator X,10/17/2006,Microsoft Game Studios,Microsoft Game Studios,Aircraft Sim,Rated E For Everyone,7.4,117
Star Wars Battlefront: Elite Squadron,11/3/2009,Savage Entertainment,LucasArts,Third Person Shooter,Rated T For Teen,7.8,55
Shinobi (2011),11/15/2011,Griptonite Games,Sega,2D Platformer,Rated T For Teen,7.3,38
Shadow of Rome,2/8/2005,Capcom,Capcom,Action Adventure,Rated M For Mature,8.8,77
Ice Age: Scrat's Nutty Adventure,10/18/2019,Blue Sky Studios,Outright Games,Action Adventure,Rated E For Everyone,5.1,23
Asterix & Obelix XXL 3: The Crystal Menhir,1/26/2021,OSome Studio,Microids,Linear Action Adventure,Rated E +10 For Everyone +10,5.1,17
Rise of the Triad,7/31/2013,Interceptor,Apogee Games,FPS,Rated M For Mature,6.6,238
Genesis Noir,3/26/2021,Feral Cat Den,Fellow Traveller,Point-and-Click,,6.1,37
Apocalipsis: Harry at the End of the World,2/28/2018,Punch Punk Games,Klabater,Point-and-Click,,6.8,11
Tesla Effect: A Tex Murphy Adventure,5/7/2014,Big Finish Games,Atlus,Adventure,,8.5,182
SpellForce 3: Soul Harvest,5/28/2019,Grimlore Games,THQ Nordic,Real-Time Tactics,,8.5,51
Afterfall: InSanity,11/25/2011,Nicolas Intoxicate,Nicolas Intoxicate,Survival,,5.8,152
Fish Out of Water,4/18/2013,Halfbrick Studios,Halfbrick Studios,Action,,,
Arslan: The Warriors of Legend,2/9/2016,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,Rated T For Teen,7,41
Castle Crashers Remastered,9/9/2015,The Behemoth,The Behemoth,2D Beat-'Em-Up,Rated T For Teen,8.2,83
Bob Help Them,3/11/2021,No Gravity Games,No Gravity Games,Virtual Life,,,
Gears of War 2: All Fronts Collection,7/28/2009,Epic Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,8.9,12
Worldwide Soccer Manager 2005,12/7/2004,Sports Interactive,Sega,Soccer Management,Rated E For Everyone,5.2,9
Noby Noby Boy,2/19/2009,Bandai Namco Games,Bandai Namco Games,Action,Rated E For Everyone,6.3,15
Forever Worlds - Enter the Unknown,4/5/2004,Hexagon Entertainment,The Adventure Company,First-Person Adventure,Rated E For Everyone,5.2,5
Insecticide: Episode 1,3/11/2008,Creat Studios,Gamecock Media Group,Action Adventure,Rated E +10 For Everyone +10,,
Samurai Warriors,5/6/2004,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,8.6,16
Sam & Max Episode 104: Abe Lincoln Must Die!,2/22/2007,Telltale Games,Telltale Games,Point-and-Click,,7,20
Rock Runners,2/14/2013,,,Action,,,
Kaiju Wars,4/28/2022,Foolish Mortals Games,Foolish Mortals Games,Turn-Based Tactics,,7.3,
Lost in Blue: Shipwrecked,9/23/2008,Hudson Soft,Konami,Adventure,Rated E +10 For Everyone +10,6.5,
Vaccine (2017),2/21/2017,Rainy Night Creations,Rainy Night Creations,Survival,Rated M For Mature,,
Metroid Prime 3: Corruption,8/27/2007,Retro Studios,Nintendo,FPS,Rated T For Teen,8.7,460
Mortal Kombat 1,9/19/2023,NetherRealm Studios,Warner Bros. Games,2D Fighting,Rated M For Mature,7.1,1053
Shoot Many Robots,3/14/2012,Demiurge Studios,Ubisoft,Action,Rated M For Mature,6.8,41
Blek,12/3/2013,kunabi brother GmbH,kunabi brother GmbH,Puzzle,,6.6,10
Tiny Metal,12/21/2017,AREA35,AREA35,Turn-Based Tactics,Rated E +10 For Everyone +10,4.3,15
Battlefield: Bad Company 2 Vietnam,12/21/2010,EA DICE,EA Games,FPS,Rated M For Mature,8.1,113
MadWorld,3/10/2009,PlatinumGames,Sega,3D Beat-'Em-Up,Rated M For Mature,8.3,135
The Dark Eye : Book of Heroes,6/9/2020,Random Potion Oy,Wild River Games,RPG,,2.2,6
Trials of Mana,4/24/2020,Xeen,Square Enix,Action RPG,Rated T For Teen,7.7,151
The Legend of Zelda: Twilight Princess,11/19/2006,Nintendo,Nintendo,Open-World Action,Rated T For Teen,8.9,1815
The Longing,3/5/2020,Studio Seufz,Studio Seufz,Adventure,,7.9,33
Eagle Eye Golf,10/10/2006,Nippon Telenet,Aksys Games,Golf Sim,Rated E +10 For Everyone +10,,
ALTDEUS: Beyond Chronos,12/4/2020,MyDearest,MyDearest,Visual Novel,,8.5,10
Yuppie Psycho,4/25/2019,Baroque Decay,Another Indie,Action Adventure,,8.3,68
EOE: Eve of Extinction,2/26/2002,Yuke's,Eidos Interactive,Action Adventure,Rated T For Teen,7.7,6
NHL 15,9/9/2014,EA Sports,Electronic Arts,Hockey Sim,Rated E +10 For Everyone +10,3.7,319
Zwei: The Ilvard Insurrection,10/31/2017,Falcom,XSEED Games,Action RPG,,8.2,12
Sniper Elite VR,7/8/2021,Coatsink Software,Rebellion,Light Gun,,7.5,10
Champions of Norrath,2/10/2004,Snowblind Studios,Sony Online Entertainment,Action RPG,Rated T For Teen,8.4,56
DynamoKid Touch,5/4/2010,OrangePixel,OrangePixel,Action,,,
Tech Support: Error Unknown,2/27/2019,Dragon Slumber,Dragon Slumber,Adventure,,5.8,9
Junk Jack X,8/29/2013,Pixbits SRL,Pixbits SRL,Sandbox,,6.3,8
Patapon,2/26/2008,SCE Japan Studio,SCEA,Rhythm,Rated E For Everyone,8.6,117
Far Cry 2,10/21/2008,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,6.6,280
Tempest 4000,7/17/2018,Llamasoft,Atari SA,Top-Down Shoot-'Em-Up,Rated E For Everyone,5.3,16
Professor Heinz Wolff's Gravity,4/6/2009,Deep Silver,Deep Silver,Action Puzzle,Rated E For Everyone,,
Star Wars: Trench Run,11/17/2009,Infrared5,THQ Wireless,Space Combat Sim,,,
Racing Gears Advance,2/8/2005,"Orbital Media, Inc.","Orbital Media, Inc.",Auto Racing,Rated E For Everyone,7.5,38
Beatdown!,11/15/2012,Ravenous Games,Ravenous Games,Action,,,
Among Us VR,11/10/2022,Schell Games,Innersloth,Survival,,7.5,8
Sega Superstars Tennis,3/18/2008,Sumo Digital,Sega,Tennis,Rated E +10 For Everyone +10,7.4,23
Steins;Gate 0,11/29/2016,5pb,PQube,Visual Novel,Rated M For Mature,8.6,114
Cross Racing Championship 2005,10/4/2005,Invictus,Graphsim Entertainment,Auto Racing Sim,Rated E For Everyone,6.7,6
Minecraft: Story Mode - Episode 3: The Last Place You Look,11/24/2015,Telltale Games,Telltale Games,Point-and-Click,Rated E +10 For Everyone +10,6.5,48
Samurai Shodown V,1/18/2006,SNK Playmore,SNK Playmore,2D Fighting,Rated T For Teen,,
Ridge Racer Unbounded,3/27/2012,Bugbear,Namco Bandai Games,Auto Racing,Rated T For Teen,7.6,59
OVERPASS,3/17/2020,Zordix Racing,Bigben Interactive,Auto Racing Sim,Rated E For Everyone,2.9,17
Boson X,9/26/2013,Ian MacLarty,Ian MacLarty,Arcade,,,
Lionheart: Kings' Crusade,10/8/2010,NeocoreGames,Paradox Interactive,Real-Time Strategy,Rated T For Teen,7.1,23
Curious George,2/1/2006,Monkey Bar Games,Namco,Action Adventure,Rated E For Everyone,7,5
Extermination,7/23/2001,Deep Space,SCEA,Survival,Rated M For Mature,8.2,18
Gore: Ultimate Soldier,6/5/2002,4D Rulers,DreamCatcher Interactive,FPS,Rated M For Mature,7,5
RHYTHM THIEF & the Paris Caper,1/9/2014,Sega,Sega,Rhythm,,,
Yu-Gi-Oh! GX Tag Force,11/14/2006,Konami,Konami,Card Battle,Rated E For Everyone,7,41
Pillars of Eternity II: Deadfire,5/8/2018,Obsidian Entertainment,Versus Evil,Western RPG,Rated M For Mature,7.8,762
Scene It? Bright Lights! Big Screen!,11/17/2009,Artificial Mind and Movement,Warner Bros. Interactive Entertainment,Trivia,Rated T For Teen,6.3,
Universe at War: Earth Assault,12/10/2007,Petroglyph,Sega,Real-Time Strategy,Rated T For Teen,8.5,59
moon: Remix RPG Adventure,8/27/2020,Onion Games,Onion Games,RPG,Rated E +10 For Everyone +10,8,20
Beholder: Complete Edition,1/19/2018,Warm Lamp Games,Curve Digital,Strategy,Rated T For Teen,7.8,
Axiom Verge,3/31/2015,Tom Happ,Tom Happ,Metroidvania,Rated E +10 For Everyone +10,7.8,213
Immortal Legacy: The Jade Cipher,4/16/2019,Viva Games,Viva Games,Light Gun,Rated M For Mature,7.2,40
Untold Legends: The Warrior's Code,3/28/2006,Sony Online Entertainment,Sony Online Entertainment,Action RPG,Rated T For Teen,7.3,17
Rugby 06,2/14/2006,EA Canada,Electronic Arts,Rugby,Rated E For Everyone,,
Slayin,4/4/2013,FDG Entertainment,FDG Entertainment,RPG,,8.3,6
Stoked: Big Air Edition,11/23/2009,Bongfish,Destineer,Skiing,Rated T For Teen,7,7
Lost Kingdoms II,5/21/2003,From Software,Activision,JRPG,Rated T For Teen,8.1,15
Stirring Abyss,10/29/2020,Sleepy Sentry,Slitherine,Turn-Based Tactics,,7.6,9
Raze's Hell,4/21/2005,Artech Studios,Majesco,Third Person Shooter,Rated M For Mature,5,
Mutant Football League: Dynasty Edition,10/30/2018,Nighthawk Interactive,Nighthawk Interactive,Football,Rated M For Mature,7.1,23
The VideoKid,8/30/2018,Chorus Worldwide,Chorus Worldwide,Arcade,Rated E +10 For Everyone +10,5.8,
Tiny Troopers 2,3/28/2013,Kukouri Mobile Entertainment,Chillingo,Top-Down Shoot-'Em-Up,,5.4,5
Spyro 2: Season of Flame,9/24/2002,Digital Eclipse,Universal Interactive,3D Platformer,Rated E For Everyone,6.4,23
Rhythm Heaven Fever,2/13/2012,Nintendo,Nintendo,Rhythm,Rated E For Everyone,8.4,99
The Ward,1/22/2001,Fragile Bits,On Deck Interactive,Adventure,Rated T For Teen,,
Hammer & Sickle,12/5/2005,Novik & Co,cdv Software,Turn-Based Tactics,Rated T For Teen,7.8,13
Lust from Beyond,3/11/2021,Movie Games,Movie Games,First-Person Adventure,,6.7,41
The Red Strings Club,1/22/2018,Deconstructeam,Devolver Digital,Visual Novel,,7.6,151
Shark Dash,4/19/2012,Gameloft,Gameloft,Puzzle,,,
INKS.,5/4/2016,State of Play Games,State of Play Games,Pinball,,,
Forgotten Memories: Alternate Realities,4/23/2015,Psychose Interactive Inc.,Psychose Interactive Inc.,Survival,,7,33
Hills and Rivers Remain,11/24/2009,Square Enix,Square Enix,Real-Time Strategy,,,
Shin Megami Tensei: Devil Survivor 2 Record Breaker,5/5/2015,Atlus,Atlus,Turn-Based Tactics,Rated T For Teen,5.4,273
SNK Heroines: Tag Team Frenzy,9/7/2018,SNK Corporation,NIS America,2D Fighting,Rated T For Teen,6.6,56
Otogi: Myth of Demons,8/27/2003,From Software,Sega,Action Adventure,Rated T For Teen,7.5,13
Futurama,8/14/2003,Unique Development Studios,VU Games,3D Platformer,Rated T For Teen,6.5,20
Lapis x Labyrinth,5/28/2019,Nippon Ichi Software,NIS America,Action RPG,Rated E +10 For Everyone +10,6.2,13
Tribes 2,3/28/2001,Dynamix,Sierra Entertainment,FPS,Rated T For Teen,8,43
Naruto Shippuden: Ultimate Ninja Storm Generations,3/13/2012,CyberConnect2,Namco Bandai Games,3D Fighting,Rated T For Teen,6.9,65
MLB The Show 16,3/29/2016,SCEA San Diego Studios,SCEA,Baseball Sim,Rated E For Everyone,7.3,190
FIFA Soccer 10,10/20/2009,EA Sports,Electronic Arts,Soccer Sim,Rated E For Everyone,7.3,109
Apex (2003),2/17/2003,Milestone S.r.l,Atari SA,Auto Racing Sim,Rated E For Everyone,6,6
Champions: Return to Arms,2/7/2005,Snowblind Studios,Sony Online Entertainment,Action RPG,Rated T For Teen,7.6,35
Sisters Royale: Five Sisters Under Fire,1/30/2020,Alfa System,Chorus Worldwide,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,,
Call of Duty: Ghosts - Devastation,4/3/2014,Infinity Ward,Activision,FPS,Rated M For Mature,5.7,26
Wii Party U,10/25/2013,Nd Cube,Nintendo,Party,Rated E For Everyone,7.1,169
Gods Eater Burst,3/15/2011,Shift,D3Publisher,Action RPG,Rated T For Teen,8,41
Monster Truck Championship,10/20/2020,Teyon,Maximum Games,Vehicle Sim,Rated E For Everyone,3.1,7
Star Horizon,5/14/2020,Orbital Knight sp. z o.o.,No Gravity Games,Rail Shooter,Rated T For Teen,,
Cardboard Castle,1/12/2011,Bulkypix,Bulkypix,Puzzle,,,
Super Toy Cars,7/24/2014,Eclipse Games,Eclipse Games,Auto Racing,Rated E For Everyone,7.4,7
Again: Interactive Crime Novel,4/2/2010,Cing,Tecmo,Visual Novel,Rated T For Teen,7,6
#DRIVE,2/16/2021,Dariusz Pietrala,PM Studios Inc.,Auto Racing,Rated E For Everyone,6.2,6
Savage Moon,1/29/2009,FluffyLogic,SCEA,Defense,Rated T For Teen,6.7,26
Children of Morta,9/3/2019,Dead Mage,Dead Mage,Action RPG,Rated T For Teen,8.1,301
Bombastic,8/27/2003,Shift,Capcom,Puzzle,Rated E For Everyone,,
Puzzlejuice,1/19/2012,Colaboratory,Colaboratory,Puzzle,,,
DJMax Respect,3/6/2018,Rocky Studio,Neowiz,Rhythm,Rated T For Teen,8.2,53
Inazuma Eleven Go: Shadow,12/15/2011,Level 5,Level 5,Soccer,,7.5,34
Pastry Panic,5/24/2012,Underground Pixel,Underground Pixel,Strategy,,,
Has-Been Heroes,3/28/2017,"Frozenbyte, Inc.",GameTrust,Turn-Based Tactics,Rated E +10 For Everyone +10,7.2,133
NBA ShootOut 2002,9/1/2001,Killer Game,SCEA,Basketball Sim,Rated E For Everyone,,
Shovel Knight Pocket Dungeon,12/13/2021,Vine,Yacht Club Games,Action Puzzle,,7.3,9
Nidhogg,1/13/2014,Messhof,Messhof,Action,,6.9,156
WarioWare Gold,8/3/2018,Nintendo,Nintendo,Party,Rated E +10 For Everyone +10,8.2,102
Nitroplus Blasterz: Heroines Infinite Duel,2/2/2016,Examu,XSEED Games,2D Fighting,Rated T For Teen,6.9,41
Tomb Raider: Underworld,11/18/2008,Crystal Dynamics,Eidos Interactive,Action Adventure,Rated T For Teen,7.5,101
Moon Hunters,3/10/2016,Kitfox Games,Kitfox Games,Action RPG,Rated E +10 For Everyone +10,6.5,30
KAO the Kangaroo (2001),12/11/2001,Titus Software,Titus Software,2D Platformer,Rated E For Everyone,6.5,
Event[0],9/14/2016,Ocelot Society,Ocelot Society,First-Person Adventure,,7,55
BioShock,8/21/2007,Irrational Games,2K Games,FPS,Rated M For Mature,9,2598
The Stillness of the Wind,2/7/2019,Memory of God / Lambic Studios,Fellow Traveller,Point-and-Click,Rated E +10 For Everyone +10,,
Pokemon Ranger: Guardian Signs,10/4/2010,Creatures Inc.,Nintendo,RPG,Rated E For Everyone,8,56
Real World Golf,4/11/2006,In2Games,Mad Catz,Golf Sim,Rated E For Everyone,,
Time Carnage,4/10/2018,Wales Interactive,Wales Interactive,Light Gun,Rated T For Teen,4.3,12
Melty Blood Actress Again Current Code,4/19/2016,French-Bread,Arc System Works,2D Fighting,,8.4,40
Jet Grind Radio,6/26/2003,Vicarious Visions,THQ,3D Platformer,Rated E For Everyone,7.2,6
Wildermyth,6/15/2021,Worldwalker Games,Worldwalker Games,Turn-Based Tactics,,7.6,89
Feel the Magic: XY/XX,11/16/2004,Sonic Team,Sega,Party,Rated T For Teen,6.8,9
Buku Sudoku,5/28/2008,Absolutist,Microsoft Game Studios,Logic Puzzle,Rated E For Everyone,,
Sega Genesis Collection,11/7/2006,Digital Eclipse,Sega,Compilation,Rated T For Teen,8.2,9
The Sims 4: Discover University,11/15/2019,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,4.8,32
Yooka-Laylee,4/11/2017,Playtonic Games,Team17,3D Platformer,Rated E +10 For Everyone +10,6.3,276
CSI: NY,11/18/2008,Legacy Interactive,Ubisoft,First-Person Adventure,Rated T For Teen,1.9,11
Spellspire,5/23/2017,10tons,10tons,RPG,Rated E +10 For Everyone +10,,
One Way Trip (2016),8/30/2016,Beret Applications LLC,Beret Applications LLC,Visual Novel,Rated M For Mature,4.3,
Blasphemous 2,8/24/2023,The Game Kitchen,Team17,Metroidvania,Rated M For Mature,7.7,143
Nobunaga's Ambition: Iron Triangle,1/27/2009,Koei,Koei,Turn-Based Strategy,Rated E +10 For Everyone +10,7.8,6
Bionic Commando (2009),5/18/2009,GRIN,Capcom,Metroidvania,Rated M For Mature,6.3,48
Harvest Moon DS: Island of Happiness,8/26/2008,TOSE,Natsume,Tycoon,Rated E For Everyone,7.9,8
Rogue Trooper: Quartz Zone Massacre,12/4/2009,Rebellion,Graffiti Entertainment,Third Person Shooter,Rated T For Teen,,
Dream (2013),7/31/2015,HyperSloth,Mastertronic,First-Person Adventure,,5.9,18
Destroy All Humans! Big Willy Unleashed,2/25/2008,Locomotive Games,THQ,Action Adventure,Rated T For Teen,5.9,11
The Legend of Zelda: Ocarina of Time / Master Quest,2/28/2003,Nintendo,Nintendo,Open-World Action,Rated E For Everyone,8.9,173
Happy Tree Friends: False Alarm,6/25/2008,Stainless Games,Sega,Action,Rated M For Mature,5.8,5
Stela,10/17/2019,SkyBox Labs,SkyBox Labs,2D Platformer,Rated E +10 For Everyone +10,6.4,15
Lifeless Planet,6/6/2014,Stage 2 Studios,Lace Mamba Global,Action Adventure,,6.3,181
Dance Dance Revolution Extreme 2,9/27/2005,Konami Computer Entertainment Hawaii,Konami,Dancing,Rated E +10 For Everyone +10,6.8,9
Lichdom: Battlemage,8/25/2014,Xaviant,Xaviant,Linear Action Adventure,,6.8,181
Into the Stars,3/4/2016,Fugitive Games,Iceberg Interactive,Action Adventure,,3.6,15
Unavowed,8/8/2018,Wadjet Eye Games,Wadjet Eye Games,Point-and-Click,,7.9,110
Gangstar: Miami Vindication,9/23/2010,Gameloft,Gameloft,Action,,7.8,
Ace Angler: Fishing Spirits,10/28/2022,Racjin,Bandai Namco Games,Fishing,Rated T For Teen,,
Seek and Destroy,12/11/2002,Barnhouse Effect,Conspiracy Entertainment,Vehicle Combat Sim,Rated T For Teen,7.8,10
NASCAR Thunder 2002,10/15/2001,EA Sports,Electronic Arts,Auto Racing Sim,Rated E For Everyone,4.5,
Psikyo Shooting Stars Bravo,2/18/2020,Psikyo,NIS America,Compilation,Rated T For Teen,,
Dustforce,1/17/2012,Hitbox,Hitbox,2D Platformer,,7.5,115
SSX (2000),10/30/2000,EA Sports Big,EA Sports Big,Skiing,Rated E For Everyone,8.2,62
EARTHLOCK: Festival of Magic,1/27/2017,Snow Castle Games,Snow Castle Games,JRPG,Rated E +10 For Everyone +10,6.2,5
NFL Blitz Pro,10/28/2003,Midway,Midway,Football,Rated E For Everyone,,
Wild Arms Alter Code: F,11/15/2005,Media.Vision,Agetec,JRPG,Rated T For Teen,7.6,23
Sky Gamblers: Cold War,7/18/2013,Atypical Games,Atypical Games,Simulation,,,
Penny Arcade Adventures: Episode One,5/21/2008,Hothead Games,Hothead Games,Adventure,Rated M For Mature,7.6,5
Samba de Amigo,9/23/2008,Gearbox Software,Sega,Rhythm,Rated E For Everyone,7.9,16
