title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Clash Royale,2016-03-02,Supercell,Supercell,Defense,,5.8,374,3960
Otogi 2: Immortal Warriors,2004-10-21,From Software,Sega,Action Adventure,Rated T For Teen,7.5,13,3961
Headhunter,2002-05-14,Amuze,Acclaim,Action Adventure,Rated M For Mature,8.4,15,3962
NUTS,2021-02-04,"Joon, Pol, Muutsch, Char & Torfi",Noodlecake Studios,First-Person Adventure,Rated E For Everyone,5.5,,3963
Freedom Wars,2014-10-28,SCE Japan Studio,SCEA,Action RPG,Rated T For Teen,8.3,300,3964
Windlands,2016-10-25,Psytec Games Ltd,Psytec Games Ltd,First-Person Adventure,Rated E For Everyone,7.7,23,3965
Darkstar: The Interactive Movie,2010-11-08,Parallax Software,Parallax Software,Action,Rated M For Mature,6.1,16,3966
Worms 3D,2004-03-11,Team17,Acclaim,Artillery,Rated T For Teen,7.4,20,3967
Rampage: Total Destruction,2006-04-24,"Pipeworks Software, Inc.",Midway,Action,Rated E +10 For Everyone +10,7.1,8,3968
SteamWorld Heist,2015-12-10,Image & Form,Image & Form,Turn-Based Strategy,Rated E +10 For Everyone +10,7.9,100,3969
No Longer Home,2021-07-30,Humble Grove,Fellow Traveller,Adventure,,,,3970
Ghost Squad,2007-11-20,Polygon Magic,Sega,Light Gun,Rated T For Teen,7.8,21,3971
Dead Rising 2: Off the Record,2011-10-11,Capcom Vancouver,Capcom,Open-World Action,Rated M For Mature,7.6,77,3972
Grand Ages: Medieval,2015-09-25,Gaming Minds Studios,Kalypso,Real-Time Strategy,Rated T For Teen,5.4,55,3973
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. the Soulless Army,2006-10-10,Atlus,Atlus,RPG,Rated M For Mature,4.4,212,3974
Edge of Nowhere,2016-06-06,Insomniac Games,Oculus Studios,Action Adventure,,7,20,3975
Mega Man Star Force: Leo,2007-08-07,Capcom,Capcom,Action RPG,Rated E For Everyone,6.1,21,3976
Scratches,2006-03-08,Nucleosys,Got Game Entertainment,Point-and-Click,Rated T For Teen,7.7,53,3977
Forza Horizon 3: Blizzard Mountain,2016-12-13,Playground Games,Microsoft Game Studios,Auto Racing Sim,,7.8,107,3978
MARVEL Powers United VR,2018-07-26,Sanzaru Games,Oculus Studios,Light Gun,,6.9,10,3979
Empire: Total War,2009-03-03,Creative Assembly,Sega,Real-Time Strategy,Rated T For Teen,7.6,879,3980
NFL Blitz 20-02,2002-02-06,Midway,Midway,Football,Rated E For Everyone,7.5,15,3981
Blue Dragon Plus,2009-02-19,Brownie Brown,Ignition Entertainment,Real-Time Tactics,Rated E For Everyone,8,8,3982
Star Trek ConQuest Online,2000-07-14,Genetic Anomalies,Activision,Strategy,Rated E For Everyone,,,3983
World Tour Soccer 2003,2003-02-10,SCEE London Studio,989 Sports,Soccer Sim,Rated E For Everyone,,,3984
Dead Rising 4: Frank's Big Package,2017-12-05,Capcom Vancouver,Capcom,Open-World Action,Rated M For Mature,5.2,82,3985
Virtua Fighter 5 Ultimate Showdown,2021-06-01,Ryu ga Gotoku Studios,Sega,3D Fighting,Rated T For Teen,6.7,58,3986
Minecraft Dungeons,2020-05-26,Mojang AB,Xbox Game Studios,Action RPG,Rated E +10 For Everyone +10,6.5,427,3987
Disney Sports: Soccer,2002-11-17,KCEO,Konami,Soccer,Rated E For Everyone,8.3,,3988
Crime Scene (2009),2010-02-16,White Birds Productions,SouthPeak Games,Adventure,Rated M For Mature,,,3989
AK-xolotl,2023-09-14,2Awesome Studio,Playstack,Top-Down Shoot-'Em-Up,,6.8,10,3990
World of Warcraft Classic,2019-08-27,Blizzard Entertainment,Blizzard Entertainment,MMORPG,Rated T For Teen,6.1,286,3991
Transport Fever,2016-11-08,Urban Games,Gambitious,Tycoon,,7.6,80,3992
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy,2017-10-06,h.a.n.d. Inc.,Level 5,Puzzle,Rated E +10 For Everyone +10,6.4,48,3993
DDRMAX2: Dance Dance Revolution,2003-09-23,Konami,Konami,Dancing,Rated E For Everyone,,,3994
The Wolf Among Us: Episode 4 - In Sheep's Clothing,2014-05-27,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,8,207,3995
Happy Wars,2012-10-12,Toylogic,Microsoft Game Studios,Action,Rated T For Teen,7,132,3996
Serious Sam HD: The First Encounter,2009-11-24,Croteam,Devolver Digital,FPS,Rated M For Mature,8,232,3997
Worms 2: Armageddon,2010-08-26,Team17,Team17,Artillery,Rated E +10 For Everyone +10,6.9,211,3998
Grim Fandango Remastered,2015-01-27,Double Fine Productions,Double Fine Productions,Third-Person Adventure,Rated T For Teen,7.8,309,3999
The Lord of the Rings: The Third Age,2004-11-02,EA Games,EA Games,JRPG,Rated T For Teen,8.4,19,4000
Dead or Alive Dimensions,2011-05-24,Team Ninja,Tecmo Koei Games,3D Fighting,Rated T For Teen,8.1,138,4001
Original War,2001-12-03,Altar Interactive,Virgin Interactive,Command RTS,Rated T For Teen,8.7,72,4002
Dynasty Tactics,2002-09-17,Koei,Koei,Turn-Based Strategy,Rated T For Teen,5.9,13,4003
Gran Turismo: The Real Driving Simulator,2009-09-30,Polyphony Digital,SCEA,Auto Racing Sim,Rated E For Everyone,7.6,95,4004
Fallout 4: Far Harbor,2016-05-19,Bethesda Game Studios,Bethesda Softworks,Western RPG,Rated M For Mature,6.6,223,4005
Richard Garriott's Tabula Rasa,2007-10-30,NCSOFT,NCSOFT,MMORPG,Rated T For Teen,6.2,16,4006
Broken Age: Act 2,2015-04-28,Double Fine Productions,Double Fine Productions,Point-and-Click,,6.2,144,4007
2Dark,2017-03-10,Gloomywood,Gloomywood,Action Adventure,Rated M For Mature,7.4,30,4008
Twin Mirror,2020-12-01,DONTNOD Entertainment,DONTNOD Entertainment,Action Adventure,,5.7,118,4009
Brain Boost: Gamma Wave,2006-11-17,HuneX,Majesco,Edutainment,Rated E For Everyone,,,4010
POSTAL 4: No Regerts,2022-04-20,Running With Scissors,Running With Scissors,Open-World Action,,3.9,165,4011
Beach Spikers: Virtua Beach Volleyball,2002-08-12,Sega AM2,Sega,Volleyball,Rated E For Everyone,7.8,10,4012
Detective Pikachu Returns,2023-10-06,Creatures Inc.,Nintendo,Third-Person Adventure,,4.5,61,4013
Broken Lines,2020-02-25,PortaPlay,SUPER.COM,Turn-Based Tactics,,7,27,4014
Marvel Ultimate Alliance 3: The Black Order,2019-07-19,Team Ninja,Nintendo,Action RPG,Rated T For Teen,7.2,386,4015
Kumo Lumo,2012-10-11,Blitz Games Studios,Chillingo,Miscellaneous,,,,4016
Mercury Hg,2011-09-28,UTV Ignition Games,UTV Ignition Games,Puzzle,Rated E For Everyone,7.6,10,4017
Marvel Pinball 3D,2012-06-28,Zen Studios,Zen Studios,Pinball,Rated E +10 For Everyone +10,7.8,21,4018
Go Vacation,2011-10-11,Namco Bandai Games,Namco Bandai Games,Party,Rated E +10 For Everyone +10,8.2,37,4019
Gibbon: Beyond the Trees,2022-05-11,Broken Rules,Broken Rules,2D Platformer,Rated E +10 For Everyone +10,5,5,4020
Oh! Edo Towns,2011-11-03,Kairosoft Co. Ltd,Kairosoft Co. Ltd,Management,,,,4021
Armadillo Run,2006-04-22,Peter Stock,Peter Stock,Action Puzzle,,6.9,15,4022
WWE WrestleMania 21,2005-04-20,Studio Gigante,THQ,Wrestling,Rated T For Teen,6.4,11,4023
Shiny,2016-08-31,Garage 227,1C Entertainment,2D Platformer,Rated E For Everyone,5.5,6,4024
Banana Kong,2013-01-24,FDG Entertainment,FDG Entertainment,2D Platformer,,5.8,10,4025
Shred Nebula,2008-09-03,CrunchTime Games,CrunchTime Games,Vertical Shoot-'Em-Up,Rated E For Everyone,,,4026
Unbound: Worlds Apart,2021-07-28,Alien Pixel Studios,Digerati Distribution,Metroidvania,,7.8,24,4027
Gauntlet (2014),2014-09-23,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,Western RPG,Rated M For Mature,7.1,188,4028
Leedmees,2011-09-07,Konami,Konami,Action,Rated E For Everyone,6.2,5,4029
NBA Live 06,2005-11-16,EA Canada,EA Sports,Basketball Sim,Rated E For Everyone,6.4,10,4030
TrackMania 2 Valley,2013-07-04,Nadeo,Ubisoft,Auto Racing,,7.7,51,4031
Prospekt,2016-02-18,Richard Seabrook,Richard Seabrook,FPS,,4.9,29,4032
Supreme Ruler 2010,2005-05-12,BattleGoat Studios,Strategy First,Turn-Based Strategy,Rated E +10 For Everyone +10,5.7,14,4033
Dead or Alive 3,2001-11-14,Team Ninja,Tecmo,3D Fighting,Rated T For Teen,8.5,56,4034
Solomon's Boneyard,2010-09-08,Raptisoft,Raptisoft,RPG,,,,4035
Rowan's Battle of Britain,2001-01-31,Rowan Software Ltd.,Empire Interactive,Aircraft Combat Sim,Rated T For Teen,,,4036
Phoning Home,2017-02-07,ION LANDS,ION LANDS,Action Adventure,,7.3,22,4037
Viva Pinata: Party Animals,2007-10-30,Krome Studios,Microsoft Game Studios,Party,Rated E For Everyone,6.8,20,4038
Looney Tunes: Acme Arsenal,2007-10-09,Red Tribe,Warner Bros. Interactive Entertainment,3D Platformer,Rated E +10 For Everyone +10,8.6,5,4039
South of the Circle,2022-08-03,State of Play Games,11 bit studios,Adventure,,6.5,20,4040
The House of the Dead: Overkill - Extended Cut,2011-10-25,Headstrong Games,Sega,Light Gun,Rated M For Mature,7.7,43,4041
Gallop Racer 2001,2001-08-20,Tecmo,Tecmo,Horse Racing,Rated E For Everyone,3,,4042
The Testament of Sherlock Holmes,2012-09-25,Frogwares,Atlus,Third-Person Adventure,Rated M For Mature,7.8,32,4043
The Legend of Zelda: Four Swords Adventures,2004-06-07,Nintendo,Nintendo,Action Adventure,Rated E For Everyone,7.4,101,4044
The Fall of the Dungeon Guardians,2015-11-06,Mana Games,Mana Games,Western RPG,,6.8,33,4045
WWE Raw 2,2003-09-16,Anchor (Legacy),THQ,Wrestling,Rated T For Teen,7.8,12,4046
Torrente,2004-12-06,Cinemaware,O3 Entertainment,FPS,Rated M For Mature,4.3,152,4047
You Suck at Parking,2022-09-14,Happy Volcano,Happy Volcano,Auto Racing,Rated E For Everyone,5.1,10,4048
Medal of Honor: Allied Assault - Breakthrough,2003-09-22,TKO Software,Electronic Arts,FPS,Rated T For Teen,7,64,4049
Wing Commander: Prophecy,2003-06-04,Raylight Studios,Destination Software,Space Combat Sim,Rated T For Teen,9.2,5,4050
Flanker 2.0,1999-09-30,Flying Legends,SSI,Aircraft Combat Sim,Rated E For Everyone,,,4051
NFL 2K1,2000-09-07,Visual Concepts,Sega,Football Sim,Rated E For Everyone,6.1,95,4052
IL-2 Sturmovik: Birds of Prey,2009-09-08,Gaijin Entertainment,505 Games,Aircraft Combat Sim,Rated T For Teen,7.2,11,4053
Sentinel 3: Homeworld,2010-11-26,Origin8,Origin8,Defense,,6,5,4054
Coffee Crisis,2018-11-30,Mega Cat Studios,Mega Cat Studios,2D Beat-'Em-Up,Rated T For Teen,4.3,8,4055
Pac-Man and the Ghostly Adventures,2013-10-29,Monkey Bar Games,Namco Bandai Games,3D Platformer,Rated E +10 For Everyone +10,7,25,4056
Hakuoki: Kyoto Winds,2017-05-16,Idea Factory,Idea Factory,Visual Novel,Rated M For Mature,8.1,13,4057
DreamWorks Shrek SuperSlam,2005-10-25,Shaba Games,Activision,3D Fighting,Rated E +10 For Everyone +10,5.4,36,4058
Vampire Night,2001-11-14,Wow Entertainment,Namco,Light Gun,Rated T For Teen,6.3,9,4059
ZombieSmash,2010-03-17,gamedoctors,gamedoctors,Action,,,,4060
Hitman - Episode 5: Colorado,2016-09-27,Io Interactive,Square Enix,Action Adventure,,6.9,32,4061
NBA 2K17,2016-09-16,Visual Concepts,2K Games,Basketball Sim,Rated E For Everyone,6.3,327,4062
Red Steel 2,2010-03-23,Ubisoft Paris,Ubisoft,FPS,Rated T For Teen,8,89,4063
Woody Woodpecker Racing,2001-01-31,Syrox Developments,Konami,Arcade Racing,Rated E For Everyone,,,4064
Front Mission 4,2004-06-15,Square Enix,Square Enix,Turn-Based Tactics,Rated T For Teen,8.5,31,4065
Persona 5: Dancing in Starlight,2018-12-04,Atlus,Atlus,Rhythm,Rated T For Teen,6.3,149,4066
Immortals Fenyx Rising: The Lost Gods,2021-04-22,Ubisoft Quebec,Ubisoft,Open-World Action,,3.4,26,4067
Slay the Spire,2019-01-23,Mega Crit Games,Mega Crit Games,Card Battle,Rated E +10 For Everyone +10,7.8,730,4068
Star Wars: The Old Republic,2011-12-20,BioWare,Electronic Arts,MMORPG,Rated T For Teen,6,2905,4069
The Last Clockwinder,2023-02-22,Pontoco,Pontoco,First-Person Adventure,Rated E For Everyone,6.7,7,4070
American Fugitive,2019-05-21,Fallen Tree Games,Curve Digital,Open-World Action,Rated M For Mature,5.5,21,4071
Last Days of Lazarus,2022-10-28,Darkania Works,GrimTalin,First-Person Adventure,,,,4072
Iro Hero,2018-06-07,Artax Games,EastAsiaSoft,Vertical Shoot-'Em-Up,Rated E For Everyone,,,4073
Carnival Games,2018-11-06,Mass Media,2K Games,Party,Rated E +10 For Everyone +10,3.4,12,4074
Kao the Kangaroo Round 2,2006-03-29,Tate Interactive,Atari SA,3D Platformer,Rated E For Everyone,8.1,17,4075
Forza Motorsport 3,2009-10-27,Turn 10,Microsoft Game Studios,Auto Racing Sim,Rated E For Everyone,8.2,447,4076
WWE SmackDown vs. Raw 2009,2008-11-09,Yuke's,THQ,Wrestling,Rated T For Teen,7.2,38,4077
Inside Pitch 2003,2003-05-20,Microsoft Game Studios,Microsoft Game Studios,Baseball Sim,Rated E For Everyone,,,4078
Homo Machina,2018-05-17,Darjeeling,Darjeeling,Adventure,,7,,4079
Ratchet & Clank: Up Your Arsenal,2004-11-03,Insomniac Games,SCEA,3D Platformer,Rated T For Teen,9,590,4080
Threes!,2014-02-05,Sirvo LLC,Sirvo LLC,Logic Puzzle,,7.3,89,4081
Angry Birds Go!,2013-12-10,Exient Entertainment,Rovio Entertainment,Arcade Racing,,4.6,39,4082
Top Spin 3,2008-06-23,Pam Development,2K Sports,Tennis,Rated E For Everyone,7.8,18,4083
Destruction Derby Arenas,2004-04-01,Studio 33,Gathering,Auto Racing,Rated T For Teen,7.8,12,4084
Valdis Story: Abyssal City,2013-09-08,Endless Fluff,Endless Fluff,2D Platformer,,7.7,91,4085
Gears of War: Judgment,2013-03-19,Epic Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,5.8,994,4086
Arcadegeddon,2021-11-30,IllFonic,IllFonic,Third Person Shooter,Rated T For Teen,7,55,4087
Prime World: Defenders,2013-06-05,Nival Interactive,Nival Interactive,Defense,,7.7,138,4088
DiRT 2,2009-09-08,Codemasters,Codemasters,Auto Racing Sim,Rated T For Teen,8.3,118,4089
Ultra Bust-A-Move,2004-11-04,Taito Corporation,Majesco,Matching Puzzle,Rated E For Everyone,,,4090
Bust-A-Move Deluxe,2006-04-04,Taito Corporation,Majesco,Matching Puzzle,Rated E For Everyone,,,4091
Ace Combat Xi: Skies of Incursion,2009-12-03,Project Aces,Namco Networks America,Aircraft Combat Sim,,,,4092
Mario Party: Island Tour,2013-11-22,Nd Cube,Nintendo,Party,Rated E For Everyone,5.9,180,4093
ShellShock 2: Blood Trails,2009-02-24,Rebellion,Eidos Interactive,FPS,Rated M For Mature,4.7,26,4094
Mobile Suit Gundam: Gundam vs. Zeta Gundam,2005-06-28,Capcom,Bandai America Inc.,Vehicle Combat Sim,Rated T For Teen,8.9,10,4095
Uncharted: The Nathan Drake Collection,2015-10-09,Bluepoint Games,SCEA,Compilation,Rated T For Teen,8.6,3634,4096
LittleBigPlanet 2,2011-01-18,Media Molecule,SCEA,2D Platformer,Rated E For Everyone,8.6,856,4097
Armored Core 2: Another Age,2001-08-20,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,7.5,12,4098
Emergency Fire Response,2003-07-30,Monte Cristo,DreamCatcher Interactive,Action Adventure,Rated T For Teen,8.6,5,4099
Bomberman Land Touch! 2,2008-01-29,Hudson Soft,Hudson Entertainment,Action Puzzle,Rated E For Everyone,,,4100
Nanotale - Typing Chronicles,2021-03-31,Fishing Cactus,Fishing Cactus,Adventure,,,,4101
Poker Pals,2011-11-03,Chillingo,Chillingo,Gambling,,,,4102
Star Trek Starfleet Command: Orion Pirates,2001-07-01,Taldren,Interplay,Real-Time Tactics,Rated E For Everyone,,,4103
Conduit 2,2011-04-19,High Voltage Software,Sega,FPS,Rated T For Teen,7.7,67,4104
Effie,2019-06-04,Inverge Studios,"Factoria Cultural Gestio, S.L.",3D Platformer,Rated E +10 For Everyone +10,6.7,27,4105
Karaoke Revolution Presents: American Idol Encore,2008-02-05,Blitz Games,Konami,Rhythm,Rated E For Everyone,,,4106
Far Cry 6 - Vaas: Insanity,2021-11-16,Ubisoft Toronto,Ubisoft,Open-World Action,,4.5,51,4107
Chaos Rings II,2012-03-15,Media.Vision,Square Enix,JRPG,,8.7,35,4108
Harvest Moon: A Wonderful Life,2004-03-16,TOSE,Natsume,Tycoon,Rated E For Everyone,7,48,4109
NBA Inside Drive 2003,2002-10-31,High Voltage Software,Microsoft Game Studios,Basketball Sim,Rated E For Everyone,,,4110
The Wonderful 101: Remastered,2020-05-19,PlatinumGames,PlatinumGames,2D Platformer,Rated T For Teen,7.5,69,4111
Binary Domain,2012-02-28,Ryu ga Gotoku Studios,Sega,Third Person Shooter,Rated M For Mature,8.2,222,4112
Star Wars Trilogy: Apprentice of the Force,2004-09-21,Ubisoft,Ubisoft,Action Adventure,Rated E For Everyone,6.3,6,4113
The Sims 3 Seasons,2012-11-13,The Sims Studio,Electronic Arts,Virtual Life,Rated T For Teen,7.4,59,4114
Beyond Eyes,2015-08-04,tiger & squid,Team17,Action Adventure,Rated E For Everyone,5.6,30,4115
Indiana Jones and the Staff of Kings,2009-06-09,Artificial Mind and Movement,LucasArts,Linear Action Adventure,Rated T For Teen,7.3,20,4116
Crystal Crisis,2019-05-28,Nicalis,Nicalis,Stacking Puzzle,Rated E +10 For Everyone +10,7.5,12,4117
Patrician IV: Conquest by Trade,2010-09-17,Gaming Minds Studios,Kalypso,Tycoon,,6.4,38,4118
Superliminal,2019-11-12,Pillow Castle Games,Pillow Castle Games,First-Person Adventure,,7.8,263,4119
LISA,2014-12-15,Dingaling,Dingaling,RPG,Rated M For Mature,8.8,195,4120
NCAA GameBreaker 2003,2002-08-14,989 Sports,SCEA,Football Sim,Rated E For Everyone,,,4121
We Were Here Forever,2022-05-10,Total Mayhem Games,Total Mayhem Games,First-Person Adventure,,7.6,16,4122
Rally Fusion: Race of Champions,2002-11-11,Climax Studios,Activision,Auto Racing Sim,Rated E For Everyone,7,,4123
DoDonPachi Dai-Ou-Jou,2012-02-09,Cave,Cave,Vertical Shoot-'Em-Up,,,,4124
Dynasty Warriors 9,2018-02-13,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,Rated T For Teen,8.4,601,4125
Underrail,2012-12-05,Stygian Software,Stygian Software,RPG,,7.8,186,4126
Ford Bold Moves Street Racing,2006-09-26,Razorworks,Eidos Interactive,Auto Racing Sim,Rated E For Everyone,5.8,,4127
Baroque,2008-04-08,Sting,Atlus,Roguelike,Rated T For Teen,8.3,14,4128
My Time at Sandrock,2023-11-02,Pathea Games,Pathea Games,RPG,Rated E +10 For Everyone +10,5.2,29,4129
Blitzkrieg (2003),2003-05-12,Nival Interactive,cdv Software,Real-Time Tactics,Rated T For Teen,7.8,50,4130
NASCAR Heat 2002,2001-11-14,Monster Games Inc.,Infogrames,Auto Racing Sim,Rated E For Everyone,,,4131
Spider-Man (2000),2000-08-30,Neversoft Entertainment,Activision,Action Adventure,Rated E For Everyone,8.6,328,4132
Worms Crazy Golf,2011-10-18,Team17,Team17,Golf,,,,4133
Fable Heroes,2012-05-02,Lionhead Studios,Microsoft Game Studios,3D Beat-'Em-Up,Rated E +10 For Everyone +10,4.9,34,4134
Galactic Civilizations II: Twilight of the Arnor,2008-04-30,Stardock,Stardock,4X Strategy,,8.3,115,4135
Agatha Christie: Evil Under the Sun,2007-10-16,AWE Games,The Adventure Company,Third-Person Adventure,Rated T For Teen,8.7,7,4136
Project Gotham Racing 2,2003-11-18,Bizarre Creations,Microsoft Game Studios,Auto Racing Sim,Rated E For Everyone,8.4,59,4137
The Legend of Heroes II: Prophecy of the Moonlight Witch,2006-06-20,Microvision,Namco Bandai Games,JRPG,Rated E +10 For Everyone +10,7,14,4138
The Witcher: Enhanced Edition,2008-09-16,CD Projekt Red Studio,Atari SA,Action RPG,Rated M For Mature,8.3,3273,4139
Goetia,2016-04-14,Sushee,Square Enix,Point-and-Click,,6.8,17,4140
Diablo III,2012-05-15,Blizzard Entertainment,Blizzard Entertainment,Action RPG,Rated M For Mature,4.2,10293,4141
Ravenmark: Mercenaries,2013-07-10,Witching Hour Studios,Witching Hour Studios,Turn-Based Strategy,,6.1,8,4142
The Sims 3 Supernatural,2012-09-04,The Sims Studio,Electronic Arts,Virtual Life,Rated T For Teen,6.3,58,4143
Forza Motorsport 4,2011-10-11,Turn 10,Microsoft Game Studios,Auto Racing Sim,Rated E For Everyone,8.4,775,4144
Rise: Race The Future,2019-07-22,VD-DEV,VD-DEV,Future Racing,Rated E For Everyone,6.6,19,4145
"Great Invasions: The Darkages ""350-1066 AD""",2007-03-16,Nobilis,Strategy First,Turn-Based Strategy,Rated E +10 For Everyone +10,,,4146
SpongeBob SquarePants: Battle for Bikini Bottom,2003-10-31,Heavy Iron Studios,THQ,3D Platformer,Rated E For Everyone,8.3,77,4147
Fatal Frame III: The Tormented,2005-11-08,Tecmo,Tecmo,Survival,Rated M For Mature,8.8,99,4148
Kingdom Hearts: Chain of Memories,2004-12-07,Jupiter Corporation,Square Enix,Action RPG,Rated E For Everyone,8.5,269,4149
Sega GT,2000-08-29,TOSE,Sega,Auto Racing Sim,Rated E For Everyone,8.3,16,4150
Doodle God,2010-06-11,JoyBits,JoyBits,Board,,6.4,15,4151
Century: Age of Ashes,2021-12-02,Playwing,Playwing,Aircraft Combat Sim,Rated E +10 For Everyone +10,6.7,20,4152
Monsters Ate My Condo,2011-09-15,Adult Swim,Adult Swim,Strategy,,6.5,6,4153
The Council - Episode 5: Checkmate,2018-12-04,Big Bad Wolf,Focus Home Interactive,Adventure,,6.7,9,4154
Call of Duty: Black Ops II,2012-11-13,Treyarch,Activision,FPS,Rated M For Mature,5.6,2833,4155
Alpha Prime,2007-05-01,Black Element,IDEA Games,FPS,Rated M For Mature,5.5,70,4156
Ghost in the Shell: Stand Alone Complex (2004),2004-11-08,Cavia Inc.,Bandai,Third Person Shooter,Rated M For Mature,6.4,15,4157
Dr. Mario / Puzzle League,2005-11-28,TOSE,Nintendo,Matching Puzzle,Rated E For Everyone,7,,4158
Disgaea 1 Complete,2018-10-09,Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,8.2,46,4159
Thrillville: Off the Rails,2007-10-09,Frontier Developments,LucasArts,Strategy,Rated E +10 For Everyone +10,3.1,37,4160
Warrior Kings: Battles,2003-09-30,Black Cactus,Strategy First,Real-Time Strategy,Rated T For Teen,8.8,18,4161
Battlefield: Bad Company 2,2010-03-02,EA DICE,EA Games,FPS,Rated M For Mature,8.3,525,4162
Synth Riders,2021-07-27,Kluge Interactive,Kluge Interactive,Rhythm,Rated T For Teen,6.7,17,4163
Blade Arcus from Shining,2016-07-28,Studio Saizensen,Studio Saizensen,2D Fighting,,,,4164
